image_id,original_caption,BLIP_caption,BLIP-Large_caption,GIT_caption,VIT-GPT2_caption,voted_adjectives
image_21,A sleek silver smartphone lying on a rough wooden table beside a half-empty porcelain mug.,a cup of coffee and a cell on a wooden table,there is a cup of coffee and a cell phone on a table,white coffee cup on wooden table,a coffee cup sitting on top of a wooden table ,['wooden']
image_22,A robust purple donkey wearing a tiny pink bonnet in a dusty barn.,a painting of a donkey in a barn,painting of a purple donkey in a barn with a pink blanket,a donkey in a barn,a horse with a blue and white stripe on its head ,[]
image_23,A cluster of vibrant orange t-shirts fluttering on a shaky clothesline under a bright morning sun.,orange shirts hanging on a clothes line,orange shirts hanging on a clothes line outside of a house,orange shirt hanging on a clothes line,a row of umbrellas hanging from a building ,[]
image_24,An elegant glass vase holding enormous scarlet roses on a pristine windowsill gleaming with sunlight.,a vase of red roses sitting on a window sie,there is a vase of roses sitting on a window sill,clear glass vase with roses,a vase filled with red roses sitting on a window sill ,['red']
image_25,A glossy black piano standing tall in a dimly lit concert hall surrounded by polished wooden chairs.,a grand piano,there is a grand piano in a large room with wooden chairs,a piano on the stage,a piano sitting on top of a wooden table ,"['grand', 'wooden']"
image_26,A gigantic cobalt whale swimming gracefully beneath shimmering teal waves in a silent ocean.,a whale in the ocean with a blue sky and clouds,illustration of a whale jumping out of the ocean waves,whale in the sea illustration,a painting of a large blue wave in the ocean ,['blue']
image_27,A plump yellow capybara munching juicy green leaves beside a tranquil riverbank.,a beaver standing on a rock in the water,cartoon illustration of a beaver standing on a rock by a pond,cartoon illustration of a rodent,a statue of a bear sitting on a tree ,[]
image_28,A delicate porcelain teacup resting atop a soft lace doily in a sunlit parlor.,a cup and saucer on a table,there is a white cup and saucer on a table,a cup and saucer on a table,a white cup with a white flower in it ,['white']
image_29,A rowdy group of crimson-feathered birds soaring over an expansive sandy desert.,a desert with birds flying in the sky,flock of birds flying over a desert area at sunset,a group of red birds,a large group of birds flying over a sandy beach ,[]
image_30,"A lean, spotted cheetah perched atop a jagged gray rock in a quiet savannah.",a che che che che che che che che che che che che che che che che che che che che,there is a cheetah standing on a rock in the desert,a large gray rock,a small brown and white animal standing on top of a rock ,[]
image_31,A cozy wooden classroom filled with colorful chalk drawings and giggling children.,a classroom with children sitting at desks,there are many children sitting at desks in a classroom,a painting of a classroom,a classroom with a large group of students ,[]
image_32,"A tall basket of ripe, sapphire-hued berries resting beside a trickling forest stream.",a basket of berries sits on a rock in a stream,arafed basket of berries sitting on rocks in a stream,a stream running through a forest,a basket filled with water and plants in a river ,[]
image_33,A timid brown hare sniffing around a mossy hollow log beneath a twilight sky.,a rabbit sitting on a log in the grass,painting of a rabbit sitting on a log in a field,the rabbit is brown,a small brown bear sitting on a rock ,['brown']
image_34,A radiant emerald coffee mug steaming gently on a tidy oak desk.,a cup of coffee with a green liquid,there is a cup of green liquid with a steam rising out of it,a cup of coffee,a coffee cup with a coffee mug on top of it ,['green']
image_35,A swift aqua dragonfly hovering just above dewy emerald ferns in a shaded grove.,dragon dragon wallpapers - screenshote,a close up of a dragonfly with a green background,dragonfly in the ferns,a close up of a picture of a green plant ,['green']
image_36,A chunky red watermelon split open on a rough stone slab beneath leafy branches.,watermelon on a rock,there are four slices of watermelon on a stone plate,a slice of watermelon,a red and white knife and some red and green leaves ,['red']
image_37,A tiny azure butterfly perched lightly on a broad green lily pad in a misty pond.,a blue butterfly sitting on top of lily pads,there is a blue butterfly sitting on a leaf in a pond,a butterfly in the water,a blue flower in a green vase on a green surface ,"['blue', 'green']"
image_38,A polished copper doorknob glinting under a warm amber hallway light.,a close up of a door handle,there is a door knob with a gold knob on it,the door knob is a classic design,a light fixture in a wall with a mirror ,[]
image_39,A narrow wooden footbridge arching over a gentle turquoise stream in a silent glade.,a bridge over a river in the woods,painting of a bridge over a river in a forest,the bridge is made of wood,a wooden bench sitting next to a river ,[]
