image_id,original_caption,generated_caption,adjectives,hallucinated
image_26,A gigantic cobalt whale swimming gracefully beneath shimmering teal waves in a silent ocean.,a painting of a large blue wave in the ocean ,"['large', 'blue']","[True, True]"
image_27,A plump yellow capybara munching juicy green leaves beside a tranquil riverbank.,a statue of a bear sitting on a tree ,[],[]
image_28,A delicate porcelain teacup resting atop a soft lace doily in a sunlit parlor.,a white cup with a white flower in it ,"['white', 'white']","[True, True]"
image_29,A rowdy group of crimson-feathered birds soaring over an expansive sandy desert.,a large group of birds flying over a sandy beach ,"['large', 'sandy']","[True, False]"
image_30,"A lean, spotted cheetah perched atop a jagged gray rock in a quiet savannah.",a small brown and white animal standing on top of a rock ,"['small', 'brown', 'white']","[True, True, True]"
image_31,A cozy wooden classroom filled with colorful chalk drawings and giggling children.,a classroom with a large group of students ,['large'],[True]
image_32,"A tall basket of ripe, sapphire-hued berries resting beside a trickling forest stream.",a basket filled with water and plants in a river ,[],[]
image_33,A timid brown hare sniffing around a mossy hollow log beneath a twilight sky.,a small brown bear sitting on a rock ,"['small', 'brown']","[True, False]"
image_34,A radiant emerald coffee mug steaming gently on a tidy oak desk.,a coffee cup with a coffee mug on top of it ,[],[]
image_35,A swift aqua dragonfly hovering just above dewy emerald ferns in a shaded grove.,a close up of a picture of a green plant ,['green'],[True]
image_36,A chunky red watermelon split open on a rough stone slab beneath leafy branches.,a red and white knife and some red and green leaves ,"['red', 'white', 'red', 'green']","[False, True, False, True]"
image_37,A tiny azure butterfly perched lightly on a broad green lily pad in a misty pond.,a blue flower in a green vase on a green surface ,"['blue', 'green', 'green']","[True, False, False]"
image_38,A polished copper doorknob glinting under a warm amber hallway light.,a light fixture in a wall with a mirror ,['light'],[False]
image_39,A narrow wooden footbridge arching over a gentle turquoise stream in a silent glade.,a wooden bench sitting next to a river ,['wooden'],[False]
